Scenario,Weight,Algorithm,Time (ms),Expansions,Generations,Open,Quality,Path
2/10 (302444) to (302445),1,A*,0.012583,2,9,7,10,10
2/10 (302444) to (302445),1,CA*,0.006417,2,2,0,10,10
2/10 (302444) to (302445),2,A*,0.016833,2,9,7,10,10
2/10 (302444) to (302445),2,CA*,0.006125,2,2,0,10,10
2/10 (302444) to (302445),5,A*,0.011542,2,9,7,10,10
2/10 (302444) to (302445),5,CA*,0.006583,2,2,0,10,10
2/10 (302444) to (302445),10,A*,0.01175,2,9,7,10,10
2/10 (302444) to (302445),10,CA*,0.004666,2,2,0,10,10
3/10 (14697) to (14996),1,A*,0.029541,4,17,13,9.95837,34
3/10 (14697) to (14996),1,CA*,0.018458,4,10,6,9.95837,34
3/10 (14697) to (14996),2,A*,0.025792,4,17,13,9.95837,34
3/10 (14697) to (14996),2,CA*,0.017125,4,10,6,9.95837,34
3/10 (14697) to (14996),5,A*,0.023875,4,17,13,9.95837,34
3/10 (14697) to (14996),5,CA*,0.017125,4,10,6,9.95837,34
3/10 (14697) to (14996),10,A*,0.024167,4,17,13,9.95837,34
3/10 (14697) to (14996),10,CA*,0.022375,4,10,6,9.95837,34
4/10 (167424) to (20981),1,A*,146.143,26519,55686,828,9.88206,4450
4/10 (167424) to (20981),1,CA*,138.011,26477,48589,763,9.88206,4450
4/10 (167424) to (20981),2,A*,9.20196,1809,5270,1013,10.0775,4538
4/10 (167424) to (20981),2,CA*,7.67583,1823,3661,610,10.0597,4530
4/10 (167424) to (20981),5,A*,5.50121,903,2334,1014,10.9702,4940
4/10 (167424) to (20981),5,CA*,3.97258,918,1919,692,11.0146,4960
4/10 (167424) to (20981),10,A*,3.98196,763,2042,1016,11.3033,5090
4/10 (167424) to (20981),10,CA*,3.54879,782,1655,685,11.2367,5060
5/10 (327415) to (32669),1,A*,117.968,21983,45703,708,9.88253,4456
5/10 (327415) to (32669),1,CA*,108.199,21970,39317,677,9.89584,4462
5/10 (327415) to (32669),2,A*,33.2708,5773,16542,959,10.2374,4616
5/10 (327415) to (32669),2,CA*,27.2867,5733,11320,622,10.2152,4606
5/10 (327415) to (32669),5,A*,15.7574,3264,6977,1036,11.8475,5342
5/10 (327415) to (32669),5,CA*,15.77,3307,6583,739,11.883,5358
5/10 (327415) to (32669),10,A*,11.6658,2435,5330,1038,12.0782,5446
5/10 (327415) to (32669),10,CA*,11.2454,2436,4898,733,12.0604,5438
6/10 (45442) to (209167),1,A*,211.368,34771,65401,511,9.89941,4398
6/10 (45442) to (209167),1,CA*,191.198,34766,60249,462,9.89941,4398
6/10 (45442) to (209167),2,A*,73.3876,12236,32110,1098,9.89941,4398
6/10 (45442) to (209167),2,CA*,61.2108,12261,23655,717,9.89941,4398
6/10 (45442) to (209167),5,A*,74.8623,12524,29889,1069,10.6242,4720
6/10 (45442) to (209167),5,CA*,70.5439,12512,24459,710,10.6377,4726
6/10 (45442) to (209167),10,A*,157.864,12352,26384,1057,10.6692,4740
6/10 (45442) to (209167),10,CA*,68.2126,12358,24157,688,10.6377,4726
7/10 (3307) to (511215),1,A*,797.523,96182,188972,638,9.89896,8840
7/10 (3307) to (511215),1,CA*,662.308,96169,166788,469,9.90567,8846
7/10 (3307) to (511215),2,A*,244.28,38280,94002,1254,10.0512,8976
7/10 (3307) to (511215),2,CA*,208.564,38295,69989,958,10.058,8982
7/10 (3307) to (511215),5,A*,112.957,20456,45276,1618,10.8978,9732
7/10 (3307) to (511215),5,CA*,105.286,20441,39697,1103,10.9896,9814
7/10 (3307) to (511215),10,A*,97.0381,18331,39233,1710,11.5898,10350
7/10 (3307) to (511215),10,CA*,93.6124,18327,35688,1155,11.5473,10312
8/10 (509298) to (494213),1,A*,525.629,74012,117026,683,9.90143,8864
8/10 (509298) to (494213),1,CA*,449.976,74004,112342,550,9.90813,8870
8/10 (509298) to (494213),2,A*,333.244,54012,92188,821,10.0176,8968
8/10 (509298) to (494213),2,CA*,307.482,54008,81679,672,10.0243,8974
8/10 (509298) to (494213),5,A*,227.544,38440,69922,1102,10.5359,9432
8/10 (509298) to (494213),5,CA*,209.617,38428,61238,878,10.5448,9440
