Scenario,Weight,Algorithm,Time (ms),Expansions,Generations,Open,Quality,Path
2/10 (37662) to (37962),5,CA*,0.016292,4,8,4,10,30
2/10 (37662) to (37962),10,A*,0.023208,4,15,11,10,30
2/10 (37662) to (37962),10,CA*,0.016292,4,8,4,10,30
3/10 (104550) to (107550),1,A*,0.020833,4,13,9,10,30
3/10 (104550) to (107550),1,CA*,0.021416,4,6,2,10,30
3/10 (104550) to (107550),2,A*,0.026,4,13,9,10,30
3/10 (104550) to (107550),2,CA*,0.014291,4,6,2,10,30
3/10 (104550) to (107550),5,A*,0.021667,4,13,9,10,30
3/10 (104550) to (107550),5,CA*,0.0145,4,6,2,10,30
3/10 (104550) to (107550),10,A*,0.019208,4,13,9,10,30
3/10 (104550) to (107550),10,CA*,0.012584,4,6,2,10,30
4/10 (127160) to (84307),1,A*,7.11279,1764,3564,284,9.90892,1754
4/10 (127160) to (84307),1,CA*,6.18525,1747,3440,229,9.90892,1754
4/10 (127160) to (84307),2,A*,1.16338,273,688,336,10.5981,1876
4/10 (127160) to (84307),2,CA*,0.995542,265,545,233,10.5981,1876
4/10 (127160) to (84307),5,A*,4.62308,1047,2273,401,10.858,1922
4/10 (127160) to (84307),5,CA*,4.54896,1047,2049,298,10.7789,1908
4/10 (127160) to (84307),10,A*,5.53542,1211,2526,399,11.084,1962
4/10 (127160) to (84307),10,CA*,5.22258,1202,2317,296,11.0049,1948
5/10 (250251) to (113204),1,A*,16.6575,3158,6886,148,9.86631,1706
5/10 (250251) to (113204),1,CA*,15.3189,3131,5765,145,9.86631,1706
5/10 (250251) to (113204),2,A*,1.16708,249,681,338,11.0692,1914
5/10 (250251) to (113204),2,CA*,1.02454,251,506,205,11.0692,1914
5/10 (250251) to (113204),5,A*,0.940375,184,563,347,11.4278,1976
5/10 (250251) to (113204),5,CA*,0.680208,185,409,210,11.3815,1968
5/10 (250251) to (113204),10,A*,0.8535,175,545,350,11.4278,1976
5/10 (250251) to (113204),10,CA*,0.626417,176,395,210,11.3815,1968
6/10 (244160) to (122220),1,A*,17.544,3673,7095,226,9.90892,1754
6/10 (244160) to (122220),1,CA*,15.8547,3638,6388,209,9.90892,1754
6/10 (244160) to (122220),2,A*,4.93829,954,2530,360,10.9484,1938
6/10 (244160) to (122220),2,CA*,3.80825,937,1834,252,10.9032,1930
6/10 (244160) to (122220),5,A*,2.83746,609,1515,389,11.9879,2122
6/10 (244160) to (122220),5,CA*,2.59879,606,1234,268,11.9088,2108
6/10 (244160) to (122220),10,A*,2.41896,528,1255,395,12.9031,2284
6/10 (244160) to (122220),10,CA*,2.16325,530,1092,279,12.9031,2284
7/10 (17231) to (263262),1,A*,34.5753,7581,13757,358,9.90503,3452
7/10 (17231) to (263262),1,CA*,33.282,7606,12974,316,10.0829,3514
7/10 (17231) to (263262),2,A*,5.80513,1263,2950,633,10.7085,3732
7/10 (17231) to (263262),2,CA*,4.90533,1272,2501,463,10.8404,3778
7/10 (17231) to (263262),5,A*,2.70162,635,1536,655,11.0929,3866
7/10 (17231) to (263262),5,CA*,2.53187,643,1316,469,11.3397,3952
7/10 (17231) to (263262),10,A*,2.58113,595,1440,658,11.4889,4004
7/10 (17231) to (263262),10,CA*,2.27842,600,1241,479,11.6439,4058
8/10 (1056) to (242272),1,A*,34.282,7615,14783,347,9.91094,3474
8/10 (1056) to (242272),1,CA*,30.8187,7614,14169,311,9.91094,3474
8/10 (1056) to (242272),2,A*,3.10083,669,1861,728,10.801,3786
8/10 (1056) to (242272),2,CA*,2.57154,672,1375,442,10.7554,3770
8/10 (1056) to (242272),5,A*,2.09358,447,1300,734,11.092,3888
8/10 (1056) to (242272),5,CA*,1.74267,448,992,456,11.1034,3892
8/10 (1056) to (242272),10,A*,2.05946,427,1246,737,11.326,3970
8/10 (1056) to (242272),10,CA*,1.59896,425,948,459,11.2632,3948
9/10 (14811) to (263255),1,A*,40.8315,8777,17113,308,9.92832,3458
9/10 (14811) to (263255),1,CA*,37.3246,8762,15562,306,9.92832,3458
9/10 (14811) to (263255),2,A*,5.73767,1328,3222,660,10.9849,3826
9/10 (14811) to (263255),2,CA*,5.38213,1335,2666,471,10.9619,3818
9/10 (14811) to (263255),5,A*,2.96687,640,1643,699,11.496,4004
9/10 (14811) to (263255),5,CA*,2.55392,634,1325,484,11.5476,4022
9/10 (14811) to (263255),10,A*,2.84254,608,1558,704,11.9496,4162
9/10 (14811) to (263255),10,CA*,2.44504,603,1267,495,11.9094,4148
10/10 (199152) to (211189),1,A*,0.525,38,141,103,9.95936,418
10/10 (199152) to (211189),1,CA*,0.551833,38,112,74,9.95936,418
10/10 (199152) to (211189),2,A*,0.431167,38,141,103,9.95936,418
10/10 (199152) to (211189),2,CA*,0.189375,38,112,74,9.95936,418
10/10 (199152) to (211189),5,A*,0.202292,38,141,103,9.95936,418
10/10 (199152) to (211189),5,CA*,0.183834,38,112,74,9.95936,418
10/10 (199152) to (211189),10,A*,0.218875,38,141,103,9.95936,418
10/10 (199152) to (211189),10,CA*,0.1805,38,112,74,9.95936,418
1/10 (167519) to (168517),1,A*,0.026959,3,14,11,9.94113,24
1/10 (167519) to (168517),1,CA*,0.017417,3,7,4,9.94113,24
1/10 (167519) to (168517),2,A*,0.020208,3,14,11,9.94113,24
1/10 (167519) to (168517),2,CA*,0.014083,3,7,4,9.94113,24
1/10 (167519) to (168517),5,A*,0.021375,3,14,11,9.94113,24
1/10 (167519) to (168517),5,CA*,0.017875,3,7,4,9.94113,24
1/10 (167519) to (168517),10,A*,0.017791,3,14,11,9.94113,24
1/10 (167519) to (168517),10,CA*,0.013125,3,7,4,9.94113,24
2/10 (205158) to (202159),1,A*,0.016583,4,9,5,9.95837,34
2/10 (205158) to (202159),1,CA*,0.01225,4,6,2,9.95837,34
2/10 (205158) to (202159),2,A*,0.015208,4,9,5,9.95837,34
2/10 (205158) to (202159),2,CA*,0.014167,4,6,2,9.95837,34
2/10 (205158) to (202159),5,A*,0.022375,4,9,5,9.95837,34
2/10 (205158) to (202159),5,CA*,0.016166,4,6,2,9.95837,34
2/10 (205158) to (202159),10,A*,0.01625,4,9,5,9.95837,34
2/10 (205158) to (202159),10,CA*,0.012166,4,6,2,9.95837,34
3/10 (77257) to (77260),1,A*,0.022459,4,15,11,10,30
3/10 (77257) to (77260),1,CA*,0.014875,4,8,4,10,30
3/10 (77257) to (77260),2,A*,0.032833,4,15,11,10,30
3/10 (77257) to (77260),2,CA*,0.018667,4,8,4,10,30
3/10 (77257) to (77260),5,A*,0.028417,4,15,11,10,30
3/10 (77257) to (77260),5,CA*,0.015167,4,8,4,10,30
3/10 (77257) to (77260),10,A*,0.021833,4,15,11,10,30
3/10 (77257) to (77260),10,CA*,0.017334,4,8,4,10,30
4/10 (203147) to (180552),1,A*,21.6689,4787,11361,733,9.97165,4310
4/10 (203147) to (180552),1,CA*,19.4952,4785,9309,685,9.97165,4310
4/10 (203147) to (180552),2,A*,3.06079,638,1810,896,10.786,4662
4/10 (203147) to (180552),2,CA*,2.76733,639,1459,686,10.7675,4654
4/10 (203147) to (180552),5,A*,2.48725,555,1511,893,11.2071,4844
4/10 (203147) to (180552),5,CA*,2.13554,555,1316,728,11.2025,4842
4/10 (203147) to (180552),10,A*,2.49804,537,1474,891,11.2534,4864
4/10 (203147) to (180552),10,CA*,2.103,536,1286,726,11.2025,4842
5/10 (157192) to (110502),1,A*,85.5703,18453,33441,295,9.95424,4342
5/10 (157192) to (110502),1,CA*,82.106,18354,29074,306,9.95424,4342
5/10 (157192) to (110502),2,A*,30.6394,6294,13662,746,11.2014,4886
5/10 (157192) to (110502),2,CA*,26.6122,6259,10847,527,11.1464,4862
5/10 (157192) to (110502),5,A*,18.058,3930,8967,848,12.5081,5456
5/10 (157192) to (110502),5,CA*,16.6435,3953,7098,622,12.7832,5576
5/10 (157192) to (110502),10,A*,16.3086,3572,7927,895,12.9529,5650
5/10 (157192) to (110502),10,CA*,15.0207,3618,6453,647,13.1913,5754
6/10 (57166) to (178487),1,A*,21.6165,4877,9703,565,9.96971,4314
6/10 (57166) to (178487),1,CA*,19.7113,4873,8728,534,9.96971,4314
6/10 (57166) to (178487),2,A*,4.4235,1057,2229,753,10.5613,4570
6/10 (57166) to (178487),2,CA*,3.93846,1051,1965,594,10.5428,4562
6/10 (57166) to (178487),5,A*,2.37683,537,1427,796,11.0143,4766
6/10 (57166) to (178487),5,CA*,2.03471,534,1204,624,10.9958,4758
6/10 (57166) to (178487),10,A*,2.36567,510,1357,798,11.0143,4766
6/10 (57166) to (178487),10,CA*,1.91512,507,1155,624,10.9958,4758
7/10 (16318) to (94580),1,A*,187.982,38063,68822,218,9.94238,8640
7/10 (16318) to (94580),1,CA*,0.015542,2,2,0,0,0
7/10 (16318) to (94580),2,A*,136.642,26737,56424,733,11.5672,10052
7/10 (16318) to (94580),2,CA*,0.011708,2,2,0,0,0
7/10 (16318) to (94580),5,A*,59.8145,12589,25928,1293,12.3405,10724
7/10 (16318) to (94580),5,CA*,0.010209,2,2,0,0,0
7/10 (16318) to (94580),10,A*,49.5876,11041,21721,1360,12.9872,11286
7/10 (16318) to (94580),10,CA*,0.011625,2,2,0,0,0
8/10 (16212) to (249588),1,A*,179.246,37048,66695,331,9.94299,8658
8/10 (16212) to (249588),1,CA*,165.221,37048,58849,301,9.94299,8658
8/10 (16212) to (249588),2,A*,125.565,25228,53115,761,11.5691,10074
8/10 (16212) to (249588),2,CA*,112.127,25056,41533,570,11.5232,10034
8/10 (16212) to (249588),5,A*,53.1995,11307,23238,1323,12.5453,10924
8/10 (16212) to (249588),5,CA*,49.3132,11335,19260,973,12.5292,10910
8/10 (16212) to (249588),10,A*,45.0614,9716,19480,1421,13.1287,11432
8/10 (16212) to (249588),10,CA*,40.4039,8823,15007,987,13.0368,11352
9/10 (333157) to (105587),1,A*,180.93,37613,62860,269,9.92289,8628
9/10 (333157) to (105587),1,CA*,166.909,37611,57741,228,9.92289,8628
9/10 (333157) to (105587),2,A*,126.249,25967,49950,511,11.0362,9596
9/10 (333157) to (105587),2,CA*,117.253,25872,41170,422,10.9902,9556
9/10 (333157) to (105587),5,A*,61.4768,13070,25611,1218,11.8412,10296
9/10 (333157) to (105587),5,CA*,57.0898,13033,21527,879,11.8113,10270
9/10 (333157) to (105587),10,A*,49.6745,11078,20706,1321,12.1885,10598
9/10 (333157) to (105587),10,CA*,47.0063,11059,17897,946,12.085,10508
10/10 (171504) to (118522),1,A*,6.74617,1507,3102,170,9.8371,862
10/10 (171504) to (118522),1,CA*,6.0305,1471,2578,153,9.8371,862
10/10 (171504) to (118522),2,A*,4.33096,939,2214,185,10.5675,926
10/10 (171504) to (118522),2,CA*,3.88096,912,1678,148,10.4762,918
10/10 (171504) to (118522),5,A*,3.18821,726,1637,201,11.5261,1010
10/10 (171504) to (118522),5,CA*,2.98217,730,1391,148,11.5261,1010
10/10 (171504) to (118522),10,A*,2.79717,634,1388,208,11.5261,1010
10/10 (171504) to (118522),10,CA*,2.652,635,1218,153,11.5261,1010
1/10 (335214) to (332214),1,A*,0.029667,4,15,11,10,30
1/10 (335214) to (332214),1,CA*,0.019584,4,8,4,10,30
1/10 (335214) to (332214),2,A*,0.025416,4,15,11,10,30
1/10 (335214) to (332214),2,CA*,0.017625,4,8,4,10,30
1/10 (335214) to (332214),5,A*,0.035625,4,15,11,10,30
1/10 (335214) to (332214),5,CA*,0.016167,4,8,4,10,30
1/10 (335214) to (332214),10,A*,0.022375,4,15,11,10,30
1/10 (335214) to (332214),10,CA*,0.023417,4,8,4,10,30
2/10 (364280) to (367281),1,A*,0.029375,4,16,12,9.95837,34
2/10 (364280) to (367281),1,CA*,0.0235,4,9,5,9.95837,34
2/10 (364280) to (367281),2,A*,0.0295,4,16,12,9.95837,34
2/10 (364280) to (367281),2,CA*,0.021625,4,9,5,9.95837,34
2/10 (364280) to (367281),5,A*,0.034334,4,16,12,9.95837,34
2/10 (364280) to (367281),5,CA*,0.03075,4,9,5,9.95837,34
2/10 (364280) to (367281),10,A*,0.043708,4,16,12,9.95837,34
2/10 (364280) to (367281),10,CA*,0.022875,4,9,5,9.95837,34
3/10 (472177) to (475179),1,A*,0.029125,4,19,15,9.92575,38
3/10 (472177) to (475179),1,CA*,0.020625,4,10,6,9.92575,38
3/10 (472177) to (475179),2,A*,0.032625,4,19,15,9.92575,38
3/10 (472177) to (475179),2,CA*,0.02875,4,10,6,9.92575,38
3/10 (472177) to (475179),5,A*,0.028458,4,19,15,9.92575,38
3/10 (472177) to (475179),5,CA*,0.037292,4,10,6,9.92575,38
3/10 (472177) to (475179),10,A*,0.03275,4,19,15,9.92575,38
3/10 (472177) to (475179),10,CA*,0.020667,4,10,6,9.92575,38
4/10 (709142) to (351440),1,A*,179.222,28982,51465,805,9.91143,5752
4/10 (709142) to (351440),1,CA*,154.145,29140,48467,788,9.94934,5774
4/10 (709142) to (351440),2,A*,68.6659,12769,25732,1200,9.96312,5782
4/10 (709142) to (351440),2,CA*,60.6823,12876,22052,829,10.0148,5812
4/10 (709142) to (351440),5,A*,56.9847,9672,25575,1278,10.5559,6126
4/10 (709142) to (351440),5,CA*,47.4203,9620,18722,822,10.5111,6100
4/10 (709142) to (351440),10,A*,48.8548,8632,21586,1284,10.8006,6268
4/10 (709142) to (351440),10,CA*,43.0493,8662,16856,821,10.8006,6268
5/10 (639199) to (325485),1,A*,68.6281,13660,22979,1196,9.87641,5782
5/10 (639199) to (325485),1,CA*,64.1116,13613,21706,864,9.88665,5788
5/10 (639199) to (325485),2,A*,53.2046,10740,18899,1239,10.16,5948
5/10 (639199) to (325485),2,CA*,52.5415,10696,17021,801,10.1429,5938
5/10 (639199) to (325485),5,A*,52.132,9629,22087,1229,10.2044,5974
5/10 (639199) to (325485),5,CA*,47.3741,9569,17320,786,10.177,5958
5/10 (639199) to (325485),10,A*,48.6839,9206,20860,1219,10.3957,6086
5/10 (639199) to (325485),10,CA*,44.4635,9172,16743,774,10.3683,6070
6/10 (678387) to (397231),1,A*,161.789,29557,55923,668,9.91206,5820
6/10 (678387) to (397231),1,CA*,147.132,29555,48440,596,9.91206,5820
6/10 (678387) to (397231),2,A*,71.014,13668,30703,872,9.96996,5854
6/10 (678387) to (397231),2,CA*,62.1256,13662,23720,575,9.95634,5846
6/10 (678387) to (397231),5,A*,45.8869,9240,22032,1025,11.0804,6506
6/10 (678387) to (397231),5,CA*,41.8246,9237,17754,783,11.0668,6498
6/10 (678387) to (397231),10,A*,38.8603,8002,19009,1011,11.2337,6596
6/10 (678387) to (397231),10,CA*,35.6072,8007,15235,763,11.22,6588
7/10 (751416) to (343755),1,A*,396.275,65280,113207,1318,9.91636,11612
7/10 (751416) to (343755),1,CA*,0.120625,37,39,0,0,0
7/10 (751416) to (343755),2,A*,158.983,33262,44798,1772,10.0581,11778
7/10 (751416) to (343755),2,CA*,0.120666,37,39,0,0,0
7/10 (751416) to (343755),5,A*,159.795,30114,56586,1844,10.1828,11924
7/10 (751416) to (343755),5,CA*,0.133083,37,51,0,0,0
